,week_56,week_57,week_58,week_59,week_60,week_61,week_62,week_63,week_64,week_65,week_66,week_67,week_68,week_69,week_70,week_71,week_72,week_73,week_74,week_75,week_76,week_77,week_78,week_79,week_80,week_81,week_82,week_83,week_84,week_85,week_86,week_87,week_88,week_89,week_90,week_91,week_92,week_93,week_94,week_95
"(32, 32)",22278.0,21030.0,19993.0,21066.0,23481.0,21703.0,22446.0,20903.0,16894.0,3071.0,424.0,336.0,291.0,231.0,241.0,271.0,272.0,288.0,306.0,240.0,257.0,495.0,552.0,716.0,743.0,802.0,881.0,857.0,893.0,951.0,858.0,908.0,1008.0,1134.0,1010.0,1187.0,1068.0,1218.0,1149.0,1148.0
"(32, 33)",3566.0,1924.0,1651.0,2015.0,2582.0,3234.0,2590.0,2145.0,1550.0,305.0,66.0,48.0,48.0,35.0,34.0,43.0,42.0,31.0,42.0,31.0,36.0,85.0,75.0,90.0,109.0,120.0,130.0,116.0,128.0,112.0,142.0,111.0,139.0,145.0,113.0,147.0,131.0,150.0,157.0,150.0
"(32, 34)",143.0,95.0,83.0,99.0,101.0,120.0,129.0,127.0,82.0,18.0,1.0,3.0,4.0,3.0,2.0,2.0,2.0,0.0,2.0,4.0,5.0,6.0,9.0,7.0,11.0,15.0,9.0,11.0,12.0,16.0,9.0,12.0,15.0,10.0,10.0,10.0,10.0,14.0,22.0,26.0
"(32, 35)",165.0,177.0,181.0,197.0,222.0,188.0,219.0,198.0,192.0,54.0,13.0,10.0,15.0,7.0,12.0,15.0,11.0,11.0,17.0,18.0,14.0,28.0,21.0,29.0,33.0,31.0,32.0,37.0,31.0,41.0,31.0,28.0,27.0,44.0,28.0,38.0,35.0,35.0,44.0,33.0
"(32, 38)",42.0,45.0,59.0,57.0,77.0,56.0,63.0,65.0,54.0,24.0,6.0,8.0,10.0,7.0,10.0,13.0,7.0,9.0,7.0,16.0,6.0,14.0,14.0,13.0,11.0,29.0,24.0,21.0,29.0,27.0,25.0,21.0,27.0,22.0,18.0,26.0,19.0,21.0,16.0,22.0
"(32, 39)",85.0,78.0,84.0,89.0,116.0,104.0,119.0,105.0,88.0,28.0,8.0,7.0,4.0,10.0,8.0,15.0,9.0,6.0,10.0,19.0,14.0,16.0,13.0,19.0,22.0,19.0,21.0,25.0,17.0,21.0,17.0,32.0,25.0,26.0,23.0,29.0,35.0,28.0,27.0,28.0
"(32, 41)",221.0,200.0,246.0,231.0,315.0,256.0,286.0,269.0,171.0,28.0,6.0,6.0,5.0,6.0,2.0,6.0,5.0,6.0,5.0,6.0,8.0,17.0,11.0,21.0,16.0,22.0,22.0,17.0,20.0,22.0,25.0,16.0,25.0,31.0,29.0,36.0,36.0,25.0,38.0,27.0
"(32, 42)",38.0,26.0,35.0,40.0,37.0,45.0,28.0,46.0,32.0,13.0,3.0,6.0,5.0,2.0,2.0,10.0,1.0,6.0,3.0,5.0,7.0,5.0,5.0,5.0,9.0,12.0,4.0,18.0,13.0,15.0,5.0,11.0,21.0,17.0,13.0,17.0,21.0,19.0,20.0,13.0
"(32, 43)",45.0,39.0,61.0,46.0,46.0,53.0,74.0,49.0,52.0,31.0,14.0,11.0,11.0,8.0,10.0,19.0,19.0,21.0,11.0,18.0,17.0,17.0,16.0,24.0,22.0,25.0,29.0,26.0,25.0,24.0,28.0,23.0,25.0,32.0,19.0,25.0,30.0,32.0,37.0,39.0
"(32, 44)",33.0,34.0,34.0,29.0,43.0,45.0,45.0,35.0,32.0,12.0,5.0,2.0,6.0,7.0,1.0,4.0,2.0,5.0,5.0,11.0,5.0,9.0,6.0,10.0,10.0,8.0,4.0,9.0,18.0,11.0,8.0,9.0,10.0,14.0,12.0,11.0,11.0,14.0,16.0,14.0
"(32, 56)",512.0,452.0,490.0,535.0,607.0,671.0,536.0,555.0,270.0,20.0,2.0,0.0,1.0,0.0,0.0,1.0,6.0,3.0,5.0,5.0,13.0,6.0,8.0,6.0,14.0,7.0,10.0,7.0,16.0,9.0,7.0,12.0,17.0,13.0,15.0,23.0,21.0,12.0,17.0,22.0
"(32, 60)",73.0,70.0,79.0,76.0,84.0,95.0,92.0,115.0,79.0,24.0,0.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,5.0,2.0,2.0,6.0,8.0,7.0,16.0,5.0,9.0,13.0,8.0,7.0,10.0,6.0,6.0,10.0,12.0,7.0,2.0,8.0,3.0
"(32, 76)",2223.0,1724.0,1751.0,1746.0,2120.0,2461.0,2056.0,2068.0,970.0,98.0,12.0,5.0,2.0,5.0,2.0,6.0,10.0,7.0,9.0,13.0,15.0,12.0,14.0,16.0,27.0,26.0,23.0,27.0,27.0,36.0,46.0,27.0,34.0,28.0,34.0,47.0,49.0,37.0,39.0,57.0
"(32, 77)",227.0,253.0,270.0,268.0,295.0,257.0,312.0,313.0,231.0,60.0,18.0,9.0,8.0,8.0,5.0,5.0,9.0,11.0,7.0,16.0,32.0,17.0,23.0,26.0,24.0,37.0,40.0,34.0,47.0,44.0,37.0,34.0,43.0,32.0,37.0,48.0,46.0,50.0,70.0,39.0
"(33, 6)",45.0,27.0,21.0,58.0,83.0,69.0,93.0,23.0,22.0,7.0,3.0,3.0,3.0,8.0,4.0,4.0,2.0,4.0,5.0,8.0,4.0,7.0,7.0,1.0,5.0,7.0,12.0,5.0,14.0,6.0,12.0,5.0,4.0,7.0,6.0,11.0,11.0,11.0,10.0,10.0
"(33, 7)",77.0,40.0,19.0,68.0,74.0,66.0,69.0,28.0,23.0,4.0,2.0,3.0,1.0,2.0,3.0,0.0,1.0,6.0,0.0,3.0,3.0,4.0,4.0,5.0,2.0,4.0,3.0,6.0,5.0,6.0,9.0,4.0,4.0,2.0,3.0,5.0,9.0,5.0,4.0,6.0
"(33, 8)",3227.0,484.0,458.0,1158.0,1461.0,2234.0,977.0,896.0,352.0,60.0,13.0,19.0,17.0,14.0,13.0,19.0,21.0,21.0,18.0,31.0,40.0,40.0,45.0,40.0,63.0,49.0,46.0,57.0,60.0,59.0,71.0,59.0,63.0,61.0,63.0,68.0,72.0,79.0,87.0,81.0
"(33, 24)",57.0,26.0,30.0,64.0,83.0,63.0,108.0,33.0,10.0,7.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,6.0,9.0,3.0,6.0,2.0,2.0,7.0,2.0,0.0,7.0,3.0,6.0,3.0
"(33, 28)",746.0,406.0,356.0,660.0,1092.0,996.0,886.0,481.0,254.0,81.0,26.0,25.0,21.0,22.0,19.0,24.0,27.0,27.0,28.0,31.0,42.0,51.0,39.0,40.0,50.0,44.0,44.0,50.0,50.0,52.0,68.0,56.0,68.0,70.0,59.0,62.0,65.0,75.0,55.0,68.0
"(33, 32)",4112.0,1027.0,868.0,1284.0,1623.0,2431.0,1777.0,1190.0,697.0,149.0,25.0,33.0,32.0,19.0,21.0,21.0,38.0,23.0,35.0,32.0,33.0,53.0,46.0,47.0,66.0,54.0,50.0,58.0,67.0,53.0,77.0,66.0,80.0,102.0,62.0,77.0,68.0,89.0,96.0,85.0
"(33, 33)",1309.0,567.0,471.0,739.0,1077.0,928.0,952.0,575.0,339.0,145.0,75.0,73.0,55.0,63.0,59.0,80.0,100.0,77.0,101.0,73.0,88.0,98.0,88.0,93.0,130.0,115.0,93.0,103.0,95.0,124.0,131.0,96.0,133.0,138.0,109.0,131.0,101.0,118.0,117.0,121.0
"(33, 34)",102.0,35.0,24.0,45.0,75.0,66.0,144.0,49.0,18.0,6.0,6.0,6.0,4.0,2.0,2.0,5.0,5.0,4.0,2.0,4.0,5.0,1.0,8.0,6.0,3.0,4.0,1.0,7.0,11.0,5.0,4.0,3.0,3.0,4.0,3.0,2.0,6.0,5.0,4.0,3.0
"(33, 35)",108.0,67.0,85.0,122.0,212.0,89.0,160.0,85.0,84.0,46.0,37.0,45.0,26.0,29.0,17.0,17.0,35.0,24.0,27.0,19.0,40.0,36.0,28.0,33.0,32.0,41.0,27.0,35.0,43.0,47.0,42.0,36.0,36.0,39.0,43.0,44.0,49.0,42.0,40.0,48.0
"(33, 38)",40.0,21.0,31.0,39.0,52.0,28.0,40.0,30.0,29.0,16.0,10.0,13.0,9.0,14.0,13.0,7.0,17.0,12.0,14.0,18.0,23.0,23.0,16.0,18.0,18.0,21.0,15.0,19.0,20.0,25.0,13.0,19.0,28.0,28.0,19.0,29.0,33.0,23.0,29.0,26.0
"(33, 41)",45.0,24.0,28.0,36.0,60.0,51.0,50.0,56.0,30.0,7.0,0.0,1.0,4.0,0.0,5.0,4.0,7.0,7.0,6.0,7.0,6.0,8.0,8.0,11.0,20.0,14.0,12.0,13.0,12.0,16.0,14.0,17.0,16.0,18.0,20.0,15.0,10.0,11.0,11.0,13.0
"(33, 43)",11.0,16.0,12.0,16.0,25.0,23.0,24.0,15.0,18.0,9.0,11.0,4.0,8.0,7.0,5.0,9.0,10.0,18.0,14.0,11.0,21.0,20.0,11.0,11.0,16.0,23.0,16.0,8.0,10.0,10.0,17.0,19.0,18.0,14.0,16.0,18.0,17.0,25.0,22.0,22.0
"(33, 56)",156.0,90.0,129.0,79.0,80.0,215.0,94.0,129.0,23.0,5.0,1.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,5.0,4.0,1.0,7.0,9.0,7.0,9.0,8.0,6.0,6.0,6.0,1.0,6.0,6.0,5.0,8.0,4.0,2.0,6.0,7.0,4.0,6.0
"(33, 76)",729.0,125.0,225.0,136.0,147.0,451.0,163.0,400.0,34.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,6.0,3.0,5.0,6.0,3.0,2.0,4.0,1.0,5.0,9.0,4.0,5.0
"(34, 34)",63.0,81.0,77.0,66.0,75.0,74.0,65.0,54.0,50.0,27.0,11.0,14.0,14.0,5.0,7.0,16.0,17.0,11.0,14.0,16.0,15.0,11.0,11.0,13.0,14.0,12.0,19.0,7.0,17.0,11.0,13.0,8.0,11.0,15.0,11.0,14.0,18.0,15.0,22.0,19.0
"(35, 8)",56.0,47.0,44.0,46.0,67.0,71.0,50.0,51.0,45.0,21.0,5.0,3.0,5.0,3.0,2.0,6.0,6.0,8.0,8.0,6.0,15.0,10.0,16.0,11.0,17.0,11.0,13.0,19.0,19.0,18.0,16.0,21.0,25.0,21.0,23.0,32.0,32.0,15.0,21.0,31.0
"(35, 28)",53.0,50.0,53.0,61.0,56.0,49.0,47.0,53.0,41.0,32.0,27.0,21.0,15.0,9.0,12.0,14.0,18.0,19.0,13.0,17.0,24.0,29.0,25.0,27.0,23.0,19.0,27.0,24.0,23.0,20.0,23.0,16.0,17.0,34.0,34.0,37.0,29.0,40.0,31.0,33.0
"(35, 32)",65.0,72.0,70.0,77.0,63.0,74.0,58.0,66.0,50.0,23.0,9.0,1.0,4.0,2.0,4.0,8.0,4.0,4.0,10.0,8.0,9.0,12.0,9.0,24.0,13.0,16.0,17.0,13.0,20.0,27.0,17.0,15.0,18.0,29.0,24.0,26.0,23.0,28.0,33.0,28.0
"(35, 33)",48.0,41.0,68.0,54.0,68.0,48.0,60.0,49.0,41.0,30.0,17.0,26.0,16.0,15.0,17.0,11.0,18.0,14.0,14.0,9.0,24.0,24.0,17.0,17.0,11.0,20.0,20.0,28.0,24.0,25.0,22.0,27.0,21.0,30.0,20.0,28.0,38.0,36.0,25.0,36.0
"(35, 35)",137.0,129.0,182.0,190.0,177.0,152.0,164.0,152.0,131.0,73.0,63.0,75.0,64.0,47.0,39.0,51.0,49.0,55.0,78.0,63.0,85.0,67.0,68.0,64.0,94.0,93.0,64.0,69.0,82.0,76.0,90.0,63.0,92.0,87.0,94.0,98.0,102.0,112.0,117.0,87.0
"(35, 36)",7.0,12.0,17.0,10.0,8.0,8.0,15.0,14.0,9.0,11.0,4.0,5.0,4.0,9.0,5.0,15.0,18.0,13.0,6.0,9.0,13.0,17.0,7.0,9.0,14.0,14.0,17.0,14.0,17.0,22.0,15.0,19.0,20.0,16.0,26.0,31.0,24.0,17.0,20.0,17.0
"(35, 38)",37.0,40.0,43.0,50.0,53.0,43.0,45.0,42.0,60.0,34.0,24.0,34.0,37.0,29.0,22.0,28.0,35.0,32.0,42.0,31.0,20.0,26.0,32.0,24.0,43.0,35.0,36.0,48.0,42.0,50.0,41.0,37.0,45.0,44.0,51.0,49.0,56.0,61.0,50.0,63.0
"(35, 41)",16.0,11.0,15.0,24.0,9.0,13.0,13.0,18.0,12.0,6.0,5.0,10.0,4.0,7.0,4.0,9.0,9.0,9.0,13.0,9.0,13.0,17.0,15.0,21.0,17.0,18.0,12.0,12.0,13.0,20.0,17.0,8.0,13.0,8.0,21.0,15.0,16.0,18.0,15.0,17.0
"(35, 43)",11.0,13.0,7.0,8.0,14.0,11.0,9.0,14.0,12.0,6.0,5.0,23.0,11.0,10.0,6.0,13.0,14.0,14.0,7.0,18.0,18.0,18.0,20.0,22.0,17.0,14.0,21.0,16.0,23.0,21.0,17.0,19.0,15.0,20.0,15.0,18.0,23.0,34.0,17.0,23.0
"(36, 35)",9.0,11.0,18.0,13.0,10.0,10.0,10.0,7.0,9.0,10.0,4.0,7.0,1.0,6.0,4.0,8.0,14.0,8.0,7.0,7.0,12.0,14.0,8.0,9.0,18.0,16.0,18.0,9.0,15.0,23.0,16.0,19.0,21.0,32.0,22.0,25.0,22.0,23.0,18.0,22.0
"(36, 36)",10.0,15.0,4.0,19.0,13.0,21.0,22.0,22.0,14.0,10.0,3.0,8.0,10.0,13.0,7.0,11.0,12.0,19.0,4.0,3.0,24.0,16.0,12.0,14.0,12.0,9.0,12.0,17.0,17.0,13.0,13.0,4.0,10.0,12.0,17.0,24.0,35.0,20.0,12.0,10.0
"(38, 8)",11.0,8.0,14.0,13.0,16.0,12.0,14.0,19.0,16.0,17.0,8.0,5.0,8.0,7.0,10.0,5.0,10.0,12.0,15.0,13.0,15.0,8.0,14.0,16.0,6.0,7.0,15.0,22.0,11.0,17.0,10.0,24.0,23.0,20.0,22.0,26.0,26.0,31.0,23.0,23.0
"(38, 28)",23.0,33.0,34.0,42.0,48.0,39.0,34.0,42.0,27.0,19.0,17.0,13.0,18.0,8.0,14.0,22.0,21.0,22.0,23.0,25.0,31.0,17.0,25.0,29.0,25.0,24.0,31.0,27.0,22.0,28.0,29.0,25.0,28.0,31.0,33.0,34.0,40.0,33.0,36.0,32.0
"(38, 32)",21.0,17.0,22.0,25.0,28.0,19.0,25.0,25.0,20.0,21.0,2.0,8.0,6.0,3.0,6.0,8.0,8.0,13.0,6.0,20.0,4.0,11.0,11.0,10.0,7.0,20.0,19.0,16.0,17.0,20.0,18.0,19.0,21.0,19.0,12.0,23.0,17.0,27.0,15.0,18.0
"(38, 35)",29.0,35.0,35.0,36.0,42.0,30.0,38.0,34.0,46.0,38.0,20.0,30.0,34.0,20.0,20.0,28.0,27.0,29.0,34.0,29.0,25.0,18.0,24.0,29.0,40.0,34.0,33.0,31.0,40.0,34.0,35.0,35.0,38.0,38.0,39.0,43.0,41.0,53.0,46.0,56.0
"(38, 38)",65.0,52.0,53.0,82.0,83.0,70.0,98.0,100.0,76.0,51.0,43.0,61.0,48.0,44.0,51.0,79.0,83.0,58.0,73.0,66.0,69.0,38.0,53.0,55.0,57.0,59.0,46.0,52.0,53.0,71.0,49.0,62.0,77.0,89.0,80.0,72.0,73.0,102.0,70.0,88.0
"(38, 39)",18.0,16.0,14.0,26.0,12.0,20.0,17.0,17.0,24.0,14.0,8.0,7.0,17.0,6.0,10.0,17.0,11.0,14.0,13.0,10.0,12.0,9.0,11.0,3.0,4.0,7.0,8.0,9.0,18.0,26.0,9.0,20.0,13.0,28.0,21.0,17.0,28.0,24.0,19.0,15.0
"(38, 41)",19.0,20.0,33.0,18.0,15.0,25.0,19.0,25.0,20.0,12.0,6.0,9.0,9.0,5.0,8.0,10.0,20.0,19.0,17.0,11.0,19.0,11.0,17.0,14.0,20.0,19.0,16.0,18.0,29.0,29.0,22.0,26.0,28.0,34.0,22.0,22.0,27.0,40.0,26.0,32.0
"(39, 8)",26.0,23.0,27.0,28.0,24.0,27.0,35.0,44.0,30.0,18.0,14.0,13.0,18.0,10.0,11.0,10.0,11.0,12.0,12.0,10.0,17.0,20.0,26.0,26.0,26.0,22.0,30.0,33.0,30.0,37.0,40.0,35.0,34.0,30.0,34.0,30.0,28.0,34.0,24.0,29.0
"(39, 28)",37.0,32.0,36.0,41.0,54.0,35.0,40.0,40.0,31.0,32.0,18.0,12.0,13.0,8.0,10.0,12.0,13.0,13.0,13.0,15.0,22.0,16.0,21.0,15.0,18.0,15.0,15.0,15.0,20.0,20.0,24.0,24.0,16.0,35.0,12.0,18.0,22.0,19.0,23.0,20.0
"(39, 32)",34.0,19.0,30.0,28.0,39.0,32.0,41.0,48.0,42.0,29.0,9.0,4.0,8.0,4.0,5.0,12.0,5.0,10.0,10.0,13.0,7.0,14.0,17.0,13.0,13.0,9.0,19.0,13.0,9.0,14.0,9.0,24.0,16.0,26.0,15.0,15.0,25.0,21.0,19.0,20.0
"(39, 38)",21.0,19.0,18.0,26.0,24.0,38.0,29.0,25.0,34.0,15.0,8.0,16.0,21.0,10.0,11.0,13.0,26.0,12.0,12.0,14.0,13.0,10.0,10.0,11.0,14.0,14.0,14.0,10.0,18.0,22.0,13.0,18.0,20.0,19.0,28.0,17.0,24.0,22.0,17.0,21.0
"(39, 39)",81.0,56.0,72.0,94.0,90.0,73.0,90.0,72.0,82.0,36.0,23.0,23.0,20.0,30.0,26.0,36.0,37.0,35.0,34.0,31.0,37.0,36.0,33.0,22.0,46.0,26.0,33.0,24.0,24.0,47.0,48.0,35.0,26.0,39.0,33.0,35.0,63.0,41.0,55.0,47.0
"(39, 41)",42.0,47.0,47.0,38.0,50.0,71.0,67.0,45.0,39.0,30.0,7.0,7.0,13.0,9.0,9.0,16.0,19.0,14.0,5.0,14.0,20.0,26.0,23.0,28.0,25.0,22.0,17.0,18.0,23.0,32.0,29.0,31.0,30.0,36.0,26.0,29.0,41.0,42.0,28.0,44.0
"(40, 40)",26.0,19.0,25.0,16.0,24.0,22.0,20.0,19.0,22.0,14.0,4.0,8.0,2.0,7.0,11.0,8.0,11.0,9.0,19.0,23.0,9.0,5.0,12.0,4.0,4.0,15.0,11.0,7.0,14.0,11.0,11.0,12.0,18.0,10.0,23.0,20.0,14.0,16.0,15.0,13.0
"(41, 8)",88.0,87.0,73.0,101.0,82.0,125.0,111.0,100.0,88.0,15.0,7.0,2.0,4.0,8.0,9.0,8.0,12.0,10.0,7.0,5.0,9.0,13.0,20.0,16.0,8.0,16.0,14.0,19.0,13.0,20.0,22.0,30.0,19.0,23.0,17.0,33.0,27.0,26.0,37.0,23.0
"(41, 28)",58.0,46.0,53.0,48.0,54.0,75.0,53.0,57.0,46.0,17.0,11.0,11.0,6.0,13.0,7.0,6.0,7.0,10.0,8.0,8.0,15.0,25.0,14.0,17.0,18.0,15.0,23.0,15.0,20.0,27.0,26.0,26.0,25.0,33.0,31.0,35.0,29.0,26.0,26.0,20.0
"(41, 32)",128.0,113.0,105.0,98.0,121.0,106.0,95.0,102.0,65.0,19.0,2.0,3.0,1.0,3.0,0.0,8.0,5.0,6.0,5.0,7.0,9.0,9.0,14.0,15.0,8.0,14.0,16.0,14.0,18.0,14.0,26.0,11.0,16.0,23.0,17.0,16.0,18.0,10.0,13.0,18.0
"(41, 33)",45.0,28.0,16.0,29.0,34.0,37.0,26.0,30.0,22.0,4.0,2.0,4.0,4.0,1.0,1.0,0.0,4.0,9.0,4.0,3.0,9.0,8.0,12.0,8.0,17.0,13.0,8.0,8.0,13.0,6.0,12.0,11.0,6.0,12.0,12.0,14.0,12.0,10.0,16.0,17.0
"(41, 35)",18.0,17.0,28.0,15.0,14.0,16.0,12.0,16.0,16.0,10.0,8.0,6.0,7.0,10.0,6.0,13.0,11.0,11.0,6.0,9.0,10.0,12.0,15.0,15.0,16.0,15.0,11.0,12.0,15.0,26.0,13.0,16.0,17.0,16.0,15.0,13.0,15.0,27.0,17.0,20.0
"(41, 38)",29.0,21.0,29.0,32.0,31.0,23.0,26.0,41.0,29.0,17.0,7.0,10.0,10.0,9.0,12.0,13.0,13.0,19.0,15.0,11.0,16.0,14.0,17.0,16.0,19.0,25.0,15.0,16.0,20.0,22.0,20.0,20.0,26.0,27.0,24.0,27.0,31.0,31.0,30.0,30.0
"(41, 39)",38.0,41.0,44.0,53.0,38.0,58.0,61.0,40.0,42.0,22.0,17.0,15.0,14.0,13.0,17.0,18.0,16.0,12.0,17.0,12.0,19.0,21.0,32.0,18.0,21.0,20.0,26.0,19.0,28.0,35.0,33.0,33.0,40.0,29.0,20.0,32.0,32.0,35.0,29.0,36.0
"(41, 41)",215.0,206.0,231.0,206.0,229.0,246.0,239.0,228.0,173.0,81.0,35.0,36.0,34.0,36.0,28.0,50.0,36.0,34.0,38.0,31.0,54.0,70.0,59.0,65.0,50.0,51.0,80.0,70.0,87.0,107.0,121.0,74.0,104.0,108.0,89.0,117.0,94.0,110.0,101.0,139.0
"(41, 42)",33.0,28.0,29.0,31.0,33.0,25.0,41.0,18.0,35.0,13.0,9.0,13.0,7.0,10.0,5.0,8.0,13.0,15.0,8.0,15.0,11.0,16.0,29.0,16.0,19.0,23.0,26.0,30.0,23.0,37.0,31.0,28.0,22.0,33.0,26.0,27.0,31.0,30.0,29.0,27.0
"(41, 43)",29.0,28.0,24.0,28.0,21.0,22.0,23.0,24.0,21.0,13.0,10.0,3.0,9.0,7.0,4.0,13.0,15.0,10.0,12.0,15.0,14.0,16.0,20.0,25.0,26.0,21.0,12.0,20.0,25.0,22.0,22.0,24.0,19.0,35.0,28.0,33.0,38.0,31.0,31.0,32.0
"(42, 41)",21.0,23.0,24.0,25.0,31.0,23.0,27.0,13.0,13.0,7.0,7.0,7.0,8.0,9.0,9.0,11.0,8.0,7.0,12.0,9.0,12.0,15.0,19.0,11.0,17.0,14.0,23.0,15.0,22.0,24.0,18.0,19.0,13.0,33.0,17.0,24.0,23.0,34.0,18.0,18.0
"(42, 42)",44.0,38.0,38.0,48.0,47.0,41.0,52.0,47.0,49.0,28.0,14.0,17.0,25.0,21.0,30.0,40.0,49.0,40.0,46.0,36.0,33.0,44.0,30.0,24.0,23.0,37.0,25.0,26.0,31.0,57.0,38.0,37.0,45.0,56.0,45.0,52.0,32.0,54.0,53.0,39.0
"(42, 43)",10.0,8.0,11.0,10.0,11.0,10.0,13.0,9.0,15.0,11.0,11.0,14.0,11.0,8.0,6.0,15.0,11.0,13.0,11.0,9.0,13.0,16.0,12.0,14.0,17.0,14.0,12.0,9.0,27.0,15.0,14.0,9.0,13.0,19.0,24.0,18.0,22.0,30.0,25.0,16.0
"(43, 8)",16.0,27.0,35.0,34.0,25.0,25.0,28.0,39.0,21.0,13.0,3.0,6.0,4.0,4.0,5.0,4.0,8.0,6.0,8.0,6.0,14.0,7.0,11.0,5.0,15.0,15.0,12.0,21.0,24.0,24.0,12.0,29.0,34.0,36.0,31.0,33.0,25.0,47.0,36.0,28.0
"(43, 28)",46.0,51.0,47.0,54.0,50.0,40.0,51.0,56.0,64.0,23.0,28.0,30.0,28.0,18.0,23.0,24.0,32.0,17.0,18.0,22.0,18.0,19.0,22.0,18.0,19.0,14.0,27.0,27.0,25.0,34.0,30.0,29.0,31.0,34.0,45.0,44.0,47.0,50.0,49.0,53.0
"(43, 32)",28.0,33.0,28.0,27.0,32.0,32.0,41.0,31.0,33.0,15.0,12.0,3.0,8.0,4.0,5.0,17.0,13.0,15.0,7.0,2.0,5.0,5.0,6.0,11.0,12.0,8.0,15.0,14.0,15.0,9.0,10.0,9.0,14.0,16.0,22.0,29.0,23.0,31.0,26.0,30.0
"(43, 41)",16.0,12.0,9.0,10.0,12.0,13.0,13.0,18.0,13.0,4.0,3.0,7.0,6.0,11.0,3.0,8.0,9.0,10.0,7.0,17.0,8.0,12.0,14.0,17.0,19.0,13.0,11.0,23.0,17.0,17.0,26.0,17.0,18.0,30.0,18.0,15.0,23.0,22.0,27.0,24.0
"(43, 42)",18.0,12.0,10.0,11.0,15.0,14.0,17.0,21.0,19.0,6.0,5.0,10.0,8.0,7.0,10.0,13.0,13.0,7.0,12.0,11.0,18.0,14.0,9.0,14.0,17.0,17.0,17.0,16.0,25.0,15.0,8.0,10.0,14.0,16.0,23.0,15.0,17.0,19.0,19.0,16.0
"(43, 43)",68.0,51.0,76.0,85.0,88.0,74.0,75.0,75.0,92.0,40.0,38.0,47.0,46.0,57.0,46.0,60.0,50.0,72.0,62.0,58.0,54.0,66.0,57.0,63.0,64.0,77.0,63.0,81.0,77.0,72.0,109.0,96.0,88.0,96.0,87.0,97.0,114.0,124.0,110.0,135.0
"(44, 28)",35.0,30.0,35.0,40.0,29.0,35.0,35.0,50.0,34.0,24.0,12.0,10.0,12.0,9.0,5.0,7.0,14.0,10.0,10.0,8.0,12.0,6.0,7.0,8.0,12.0,1.0,10.0,9.0,7.0,5.0,11.0,13.0,14.0,13.0,12.0,18.0,17.0,28.0,20.0,28.0
"(44, 44)",54.0,41.0,48.0,53.0,59.0,46.0,72.0,75.0,68.0,38.0,15.0,25.0,35.0,39.0,10.0,50.0,34.0,41.0,43.0,25.0,24.0,25.0,27.0,33.0,25.0,25.0,20.0,20.0,19.0,28.0,23.0,28.0,26.0,39.0,32.0,35.0,38.0,42.0,37.0,46.0
"(46, 46)",23.0,20.0,32.0,25.0,16.0,19.0,29.0,38.0,27.0,13.0,4.0,16.0,7.0,17.0,12.0,26.0,23.0,21.0,20.0,15.0,29.0,19.0,7.0,20.0,23.0,11.0,16.0,13.0,16.0,17.0,21.0,20.0,14.0,14.0,22.0,20.0,21.0,26.0,17.0,25.0
"(48, 48)",22.0,20.0,21.0,30.0,22.0,14.0,25.0,31.0,23.0,12.0,4.0,8.0,4.0,9.0,6.0,7.0,8.0,13.0,11.0,4.0,12.0,8.0,2.0,9.0,8.0,8.0,9.0,5.0,2.0,15.0,12.0,10.0,9.0,13.0,13.0,21.0,14.0,11.0,18.0,16.0
"(49, 49)",50.0,36.0,49.0,43.0,42.0,45.0,43.0,42.0,40.0,10.0,13.0,20.0,24.0,9.0,11.0,15.0,20.0,10.0,13.0,14.0,10.0,12.0,23.0,11.0,15.0,19.0,18.0,15.0,18.0,17.0,18.0,16.0,14.0,32.0,13.0,22.0,20.0,23.0,21.0,17.0
"(56, 3)",35.0,47.0,51.0,25.0,41.0,33.0,55.0,30.0,25.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,1.0,3.0,8.0,3.0,8.0,6.0,13.0,9.0,13.0,4.0,9.0,5.0,11.0,5.0,3.0,7.0,7.0,5.0,10.0,10.0,6.0,3.0
"(56, 5)",44.0,43.0,48.0,47.0,49.0,41.0,53.0,46.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,6.0,1.0,4.0,6.0,4.0,5.0,1.0,2.0,8.0,6.0,4.0,6.0,6.0,2.0,2.0,4.0,7.0,11.0,4.0,8.0,11.0
"(56, 6)",172.0,177.0,178.0,163.0,187.0,219.0,181.0,179.0,91.0,17.0,1.0,1.0,0.0,1.0,1.0,2.0,5.0,10.0,7.0,16.0,13.0,27.0,35.0,24.0,38.0,39.0,25.0,19.0,25.0,17.0,20.0,33.0,24.0,27.0,37.0,24.0,28.0,31.0,31.0,29.0
"(56, 7)",167.0,216.0,158.0,197.0,181.0,188.0,200.0,184.0,127.0,20.0,3.0,0.0,2.0,0.0,3.0,1.0,4.0,7.0,11.0,29.0,16.0,20.0,26.0,27.0,39.0,26.0,19.0,13.0,23.0,23.0,28.0,16.0,25.0,19.0,35.0,38.0,32.0,20.0,34.0,27.0
