,week_56,week_57,week_58,week_59,week_60,week_61,week_62,week_63,week_64,week_65,week_66,week_67,week_68,week_69,week_70,week_71,week_72,week_73,week_74,week_75,week_76,week_77,week_78,week_79,week_80,week_81,week_82,week_83,week_84,week_85,week_86,week_87,week_88,week_89,week_90,week_91,week_92,week_93,week_94,week_95
"(8, 33)",2282.0,1031.0,1008.0,1451.0,1950.0,2656.0,1395.0,1378.0,876.0,119.0,29.0,30.0,14.0,18.0,22.0,27.0,35.0,30.0,29.0,45.0,67.0,75.0,88.0,101.0,122.0,124.0,109.0,160.0,131.0,156.0,148.0,165.0,138.0,150.0,135.0,164.0,170.0,146.0,152.0,150.0
"(8, 34)",87.0,61.0,43.0,72.0,62.0,73.0,81.0,74.0,38.0,5.0,3.0,2.0,1.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,10.0,3.0,8.0,3.0,10.0,10.0,5.0,7.0,11.0,11.0,9.0,13.0,9.0,10.0,5.0,6.0,16.0,12.0,19.0,6.0
"(8, 35)",103.0,100.0,101.0,99.0,128.0,111.0,114.0,103.0,83.0,28.0,12.0,8.0,6.0,1.0,7.0,8.0,5.0,11.0,7.0,9.0,21.0,14.0,28.0,17.0,22.0,23.0,28.0,20.0,29.0,36.0,34.0,21.0,35.0,23.0,29.0,40.0,31.0,37.0,38.0,39.0
"(8, 38)",36.0,30.0,33.0,30.0,50.0,39.0,33.0,34.0,34.0,15.0,8.0,12.0,4.0,10.0,7.0,8.0,10.0,16.0,14.0,14.0,19.0,10.0,11.0,17.0,27.0,11.0,25.0,25.0,22.0,20.0,14.0,23.0,28.0,21.0,24.0,25.0,35.0,28.0,18.0,27.0
"(8, 39)",62.0,73.0,63.0,69.0,86.0,76.0,85.0,85.0,74.0,28.0,15.0,8.0,5.0,10.0,9.0,5.0,15.0,11.0,16.0,11.0,15.0,19.0,29.0,32.0,23.0,27.0,29.0,33.0,38.0,44.0,39.0,28.0,36.0,30.0,34.0,35.0,46.0,36.0,36.0,32.0
"(8, 41)",164.0,160.0,168.0,197.0,223.0,215.0,222.0,211.0,169.0,28.0,10.0,5.0,9.0,7.0,8.0,5.0,13.0,18.0,11.0,14.0,21.0,23.0,27.0,17.0,23.0,24.0,25.0,36.0,28.0,29.0,36.0,47.0,24.0,34.0,25.0,46.0,54.0,35.0,44.0,44.0
"(8, 42)",31.0,26.0,25.0,32.0,39.0,30.0,38.0,34.0,37.0,10.0,3.0,10.0,0.0,2.0,5.0,3.0,4.0,8.0,8.0,4.0,11.0,6.0,8.0,8.0,17.0,9.0,16.0,7.0,11.0,13.0,11.0,12.0,17.0,12.0,18.0,15.0,17.0,15.0,18.0,28.0
"(8, 43)",36.0,44.0,56.0,56.0,56.0,48.0,51.0,61.0,38.0,20.0,7.0,9.0,8.0,4.0,10.0,12.0,9.0,15.0,10.0,12.0,22.0,18.0,23.0,19.0,24.0,26.0,33.0,34.0,34.0,33.0,26.0,41.0,29.0,33.0,32.0,43.0,29.0,56.0,41.0,39.0
"(8, 44)",30.0,30.0,22.0,19.0,26.0,27.0,32.0,32.0,31.0,7.0,3.0,8.0,7.0,11.0,7.0,12.0,11.0,8.0,9.0,11.0,12.0,9.0,12.0,7.0,8.0,8.0,6.0,10.0,8.0,3.0,10.0,12.0,15.0,10.0,9.0,12.0,10.0,14.0,9.0,14.0
"(8, 56)",335.0,395.0,407.0,382.0,430.0,681.0,498.0,462.0,317.0,38.0,9.0,7.0,3.0,0.0,5.0,5.0,7.0,4.0,8.0,9.0,16.0,21.0,13.0,18.0,20.0,19.0,11.0,19.0,14.0,25.0,21.0,22.0,18.0,21.0,22.0,19.0,30.0,34.0,30.0,43.0
